,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
1896,Ford Focus,7009,4490,MK3 6JS,https://www.autotrader.co.uk/car-details/202304206483157,DT2 7LU,https://www.autotrader.co.uk/car-details/202305036961269,45000.0,117000.0,1.6,2.0,-5239.52,700.7899306686566,637.7089919084352
6513,Ford Fiesta,8100,6550,MK3 6JS,https://www.autotrader.co.uk/car-details/202304296831353,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257780029,37000.0,78600.0,1.6,1.0,-5268.324324324325,700.7899306686566,752.994263020137
1964,Ford Focus,6995,3995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305247732937,DT2 7LU,https://www.autotrader.co.uk/car-details/202304296811929,62735.0,111000.0,1.6,1.6,-5308.041762971228,700.7899306686566,637.7089919084352
2022,Ford Focus,8695,5990,MK3 6JS,https://www.autotrader.co.uk/car-details/202305107205992,DT2 7LU,https://www.autotrader.co.uk/car-details/202304216522234,36603.0,72500.0,1.6,1.6,-5357.825861268202,700.7899306686566,637.7089919084352
3613,Ford Fiesta,8495,6390,MK3 6JS,https://www.autotrader.co.uk/car-details/202305167443225,DT2 7LU,https://www.autotrader.co.uk/car-details/202305127306082,36000.0,57578.0,1.6,1.0,-5386.741777777778,700.7899306686566,752.994263020137
6579,Ford Fiesta,8990,6995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305247725659,DT2 7LU,https://www.autotrader.co.uk/car-details/202304276725819,13278.0,54000.0,1.0,1.5,-5408.947130591956,700.7899306686566,752.994263020137
1977,Ford Focus,7980,5750,MK3 6JS,https://www.autotrader.co.uk/car-details/202304216524087,DT2 7LU,https://www.autotrader.co.uk/car-details/202304035930305,50000.0,76355.0,1.6,1.0,-5448.692800000001,700.7899306686566,637.7089919084352
4515,Ford B-Max,7250,5795,MK3 6JS,https://www.autotrader.co.uk/car-details/202301303757252,DT2 7LU,https://www.autotrader.co.uk/car-details/202303044891753,31582.0,74000.0,1.6,1.0,-5454.752707238301,700.7899306686566,545.6490990625547
4356,Ford Focus,9700,6756,MK3 6JS,https://www.autotrader.co.uk/car-details/202302084052215,DT2 7LU,https://www.autotrader.co.uk/car-details/202304246608223,30675.0,56893.0,1.6,1.6,-5460.24423797881,700.7899306686566,637.7089919084352
7100,Ford Kuga,10000,7550,MK3 6JS,https://www.autotrader.co.uk/car-details/202305057063100,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157401379,44440.0,99900.0,2.0,2.0,-5507.5382538253825,700.7899306686566,485.8293160516598
