,name_buy,price_buy,price_sell,postcode_buy,link_buy,postcode_sell,link_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name
5154,Citroen C4 Picasso,7695,3895,MK3 6JS,https://www.autotrader.co.uk/car-details/202305097186662,DT2 7LU,https://www.autotrader.co.uk/car-details/202305227640610,63000.0,93181.0,1.6,1.6,-5620.44126984127,416.30676721031426,-468.41801701039344
10480,Citroen C1,7499,5995,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117274538,DT2 7LU,https://www.autotrader.co.uk/car-details/202304176358141,12750.0,51000.0,1.0,1.0,-6016.0,416.30676721031426,677.7478629675197
10471,Citroen C1,7300,5600,MK3 6JS,https://www.autotrader.co.uk/car-details/202305177479063,DT2 7LU,https://www.autotrader.co.uk/car-details/202305067085473,15874.0,58315.0,1.0,1.0,-6245.149300743354,416.30676721031426,677.7478629675197
5163,Citroen C4 Picasso,9050,5750,MK3 6JS,https://www.autotrader.co.uk/car-details/202305157403548,DT2 7LU,https://www.autotrader.co.uk/car-details/202304055992182,38467.0,73185.0,1.6,1.6,-6278.3814698312835,416.30676721031426,-468.41801701039344
8503,Citroen DS3,8000,4990,MK3 6JS,https://www.autotrader.co.uk/car-details/202302144248783,DT2 7LU,https://www.autotrader.co.uk/car-details/202304216521978,41000.0,93730.0,1.6,1.6,-6881.153658536586,416.30676721031426,334.4031870987111
10478,Citroen C1,7499,5600,MK3 6JS,https://www.autotrader.co.uk/car-details/202305117274538,DT2 7LU,https://www.autotrader.co.uk/car-details/202305067085473,12750.0,58315.0,1.0,1.0,-8685.504705882353,416.30676721031426,677.7478629675197
4220,Citroen DS3,6995,3950,MK3 6JS,https://www.autotrader.co.uk/car-details/202303255609195,DT2 7LU,https://www.autotrader.co.uk/car-details/202305097160144,29000.0,101000.0,1.6,1.6,-10605.0,416.30676721031426,334.4031870987111
5162,Citroen C4 Picasso,9050,3895,MK3 6JS,https://www.autotrader.co.uk/car-details/202305157403548,DT2 7LU,https://www.autotrader.co.uk/car-details/202305227640610,38467.0,93181.0,1.6,1.6,-12487.276236774378,416.30676721031426,-468.41801701039344
438,Citroen C3,2495,2495,MK3 6JS,https://www.autotrader.co.uk/car-details/202303205443093,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257788402,94250.0,109000.0,1.4,1.4,,416.30676721031426,-440.8516615748987
690,Citroen C1,2499,2499,MK3 6JS,https://www.autotrader.co.uk/car-details/202305257759688,DT2 7LU,https://www.autotrader.co.uk/car-details/202305257759688,82000.0,82000.0,1.0,1.0,,416.30676721031426,677.7478629675197
2375,Citroen DS3,3995,3995,MK3 6JS,https://www.autotrader.co.uk/car-details/202304066038360,DT2 7LU,https://www.autotrader.co.uk/car-details/202304296830993,59592.0,88000.0,1.6,1.6,,416.30676721031426,334.4031870987111
5159,Citroen C4 Picasso,5750,5750,MK3 6JS,https://www.autotrader.co.uk/car-details/202304055992182,DT2 7LU,https://www.autotrader.co.uk/car-details/202304055992182,73185.0,73185.0,1.6,1.6,,416.30676721031426,-468.41801701039344
5165,Citroen C4 Picasso,9050,9050,MK3 6JS,https://www.autotrader.co.uk/car-details/202305157403548,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157403548,38467.0,38467.0,1.6,1.6,,416.30676721031426,-468.41801701039344
5573,Citroen DS3,4995,4995,MK3 6JS,https://www.autotrader.co.uk/car-details/202212102425676,DT2 7LU,https://www.autotrader.co.uk/car-details/202305157387792,82665.0,89000.0,1.6,1.6,,416.30676721031426,334.4031870987111
5586,Citroen DS3,7499,7499,MK3 6JS,https://www.autotrader.co.uk/car-details/202303034851777,DT2 7LU,https://www.autotrader.co.uk/car-details/202303034851777,39843.0,39843.0,1.6,1.6,,416.30676721031426,334.4031870987111
