,name_buy,price_buy,price_sell,postcode_buy,postcode_sell,mileage_buy,mileage_sell,engine_buy,engine_sell,buy_score,score_by_brand,score_by_name,link_buy,link_sell
8980,Fiat 500,5990,6495,MK3 6JS,DT2 7LU,44710.0,50010.0,1.2,1.2,564.8635651979423,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202304256643808,https://www.autotrader.co.uk/car-details/202304226547708
10570,Fiat 500X,8099,8989,MK3 6JS,DT2 7LU,59934.0,38031.0,1.4,1.4,564.7477224947443,252.93659626935664,28.17507440804007,https://www.autotrader.co.uk/car-details/202304296822964,https://www.autotrader.co.uk/car-details/202305016877192
2590,Volkswagen Golf,4999,5850,MK3 6JS,DT2 7LU,114632.0,86900.0,1.4,1.6,564.4838483146066,695.0849396237942,762.4739266256026,https://www.autotrader.co.uk/car-details/202304226568235,https://www.autotrader.co.uk/car-details/202305077102871
374,Hyundai i10,2499,2990,MK3 6JS,DT2 7LU,67000.0,77000.0,1.2,1.2,564.2835820895523,460.68661574697666,290.90473761039783,https://www.autotrader.co.uk/car-details/202301193418031,https://www.autotrader.co.uk/car-details/202305227656268
2266,Mercedes-Benz E Class,8845,9495,MK3 6JS,DT2 7LU,81789.0,71000.0,2.1,2.1,564.2568071501058,674.6935023774138,1016.1809449827292,https://www.autotrader.co.uk/car-details/202302254638747,https://www.autotrader.co.uk/car-details/202303165314528
9977,Hyundai i30,6891,7663,MK3 6JS,DT2 7LU,74900.0,62500.0,1.4,1.6,563.6682242990654,460.68661574697666,848.6581385109381,https://www.autotrader.co.uk/car-details/202209280197777,https://www.autotrader.co.uk/car-details/202305247742212
5571,Vauxhall Astra,5995,6589,MK3 6JS,DT2 7LU,66010.0,71582.0,1.4,1.6,563.6228525980911,575.9489604687036,444.76930677351464,https://www.autotrader.co.uk/car-details/202305127312669,https://www.autotrader.co.uk/car-details/202305187526240
7803,Vauxhall Corsa,6490,7150,MK3 6JS,DT2 7LU,51000.0,50807.0,1.2,1.4,563.5734453781513,575.9489604687036,619.1279642031584,https://www.autotrader.co.uk/car-details/202304066055760,https://www.autotrader.co.uk/car-details/202305047010371
4005,Ford Fiesta,6045,7450,MK3 6JS,DT2 7LU,77800.0,37424.0,1.0,1.2,563.2039417309339,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202305257777046,https://www.autotrader.co.uk/car-details/202304045947841
4803,Volkswagen Passat,8700,9500,MK3 6JS,DT2 7LU,105000.0,73882.0,2.0,2.0,562.9104761904762,695.0849396237942,950.2135504205887,https://www.autotrader.co.uk/car-details/202210271139880,https://www.autotrader.co.uk/car-details/202305237705525
2024,Ford Focus,5975,9979,MK3 6JS,DT2 7LU,89000.0,19992.0,1.0,1.6,562.1346067415731,722.8608854553976,652.9603196904561,https://www.autotrader.co.uk/car-details/202304156320259,https://www.autotrader.co.uk/car-details/202303295726918
10559,Renault Captur,6750,8498,MK3 6JS,DT2 7LU,98067.0,52536.0,0.9,1.5,561.8582887209765,625.8645413490611,666.3654015187517,https://www.autotrader.co.uk/car-details/202301073029715,https://www.autotrader.co.uk/car-details/202304266675511
9609,Ford Fiesta,7900,8899,MK3 6JS,DT2 7LU,44674.0,25120.0,1.0,1.0,561.733446747549,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202304116174245,https://www.autotrader.co.uk/car-details/202304276754542
3822,Ford Fiesta,5499,5995,MK3 6JS,DT2 7LU,71600.0,81000.0,1.0,1.0,561.1173184357542,722.8608854553976,790.4879505203895,https://www.autotrader.co.uk/car-details/202207127705331,https://www.autotrader.co.uk/car-details/202305036969429
7237,Fiat 500,6095,6990,MK3 6JS,DT2 7LU,60000.0,37604.0,1.2,1.2,560.9263333333333,252.93659626935664,210.21562539784054,https://www.autotrader.co.uk/car-details/202305097190447,https://www.autotrader.co.uk/car-details/202305127289680
10389,Citroen C1,5600,7000,MK3 6JS,DT2 7LU,58315.0,28022.0,1.0,1.2,560.616193660865,297.1911494558417,584.1236227539694,https://www.autotrader.co.uk/car-details/202305067085473,https://www.autotrader.co.uk/car-details/202305207580506
7010,Volkswagen Golf,7990,8713,MK3 6JS,DT2 7LU,107120.0,83000.0,2.0,2.0,560.2035100821508,695.0849396237942,762.4739266256026,https://www.autotrader.co.uk/car-details/202211181781747,https://www.autotrader.co.uk/car-details/202305097185179
1432,Audi A7,8389,8995,MK3 6JS,DT2 7LU,132000.0,122000.0,3.0,3.0,560.090909090909,236.33866603688185,560.090909090909,https://www.autotrader.co.uk/car-details/202305257786506,https://www.autotrader.co.uk/car-details/202303074978881
