,name_sell,link_sell,price_sell,seller_sell,year_sell,body_sell,mileage_sell,engine_sell,BHP_sell,transmission_sell,fuel_sell,owners_sell,brand_sell,postcode_sell
260,Ford Mondeo,https://www.autotrader.co.uk/car-details/202305147351977,2100,bournemouth (27 miles),2008,Hatchback,101000.0,2.0,143.0,Manual,Petrol,4.0,Ford,DT1 3GJ
261,Nissan Qashqai+2,https://www.autotrader.co.uk/car-details/202211011288581,4795,4.9 (186 reviews),2008,SUV,78000.0,2.0,139.0,Manual,Petrol,,Nissan,DT1 3GJ
262,Peugeot 407,https://www.autotrader.co.uk/car-details/202206026426985,3695,4.5 (34 reviews) bournemouth (29 miles),2008,Coupe,112000.0,2.7,205.0,Automatic,Diesel,2.0,Peugeot,DT1 3GJ
263,Honda Accord,https://www.autotrader.co.uk/car-details/202304276756821,3995,5.0 (87 reviews) ferndown (27 miles),2008,Saloon,70000.0,2.2,138.0,Manual,Diesel,2.0,Honda,DT1 3GJ
264,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202305127305630,5795,4.9 (33 reviews) verwood (29 miles),2008,Saloon,88500.0,3.0,190.0,Automatic,Diesel,,Mercedes-Benz,DT1 3GJ
265,Peugeot 207,https://www.autotrader.co.uk/car-details/202304055998535,2495,poole (23 miles),2008,Hatchback,154000.0,1.4,67.0,Manual,Diesel,,Peugeot,DT1 3GJ
266,Fiat 500,https://www.autotrader.co.uk/car-details/202303235535375,2750,4.4 (14 reviews) bournemouth (29 miles),2008,Hatchback,110000.0,1.2,,Manual,Petrol,3.0,Fiat,DT1 3GJ
267,Renault Twingo,https://www.autotrader.co.uk/car-details/202304136250442,2990,4.8 (117 reviews),2008,Hatchback,80000.0,1.2,,Manual,Petrol,,Renault,DT1 3GJ
268,Toyota Yaris,https://www.autotrader.co.uk/car-details/202304056005425,2499,4.8 (450 reviews),2008,Hatchback,95000.0,1.3,85.0,Manual,Petrol,2.0,Toyota,DT1 3GJ
269,Ford Fusion,https://www.autotrader.co.uk/car-details/202303145220976,2795,4.1 (19 reviews) bournemouth (25 miles),2008,Hatchback,93000.0,1.6,99.0,Manual,Petrol,2.0,Ford,DT1 3GJ
270,SKODA Roomster,https://www.autotrader.co.uk/car-details/202304106145832,2490,4.6 (331 reviews),2008,MPV,113000.0,1.9,105.0,Manual,Diesel,,SKODA,DT1 3GJ
271,Toyota Yaris,https://www.autotrader.co.uk/car-details/202305036973965,4995,4.0 (14 reviews),2008,Hatchback,57585.0,1.3,86.0,Automatic,Petrol,,Toyota,DT1 3GJ
272,Volkswagen EOS,https://www.autotrader.co.uk/car-details/202303295749981,4490,4.8 (117 reviews),2008,Convertible,83319.0,2.0,,Automatic,Diesel,,Volkswagen,DT1 3GJ
273,Volvo V70,https://www.autotrader.co.uk/car-details/202305026927662,5490,somerton (27 miles),2008,Estate,85000.0,2.4,161.0,Automatic,Diesel,5.0,Volvo,DT1 3GJ
