,name_1,link_1,price_1,seller_1,year_1,body_1,mileage_1,engine_1,BHP_1,transmission_1,fuel_1,owners_1,brand_1,postcode_1
374,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202304136261373,2300,4.9 (28 reviews) leighton buzzard (9 miles),2009,Estate,126300,1.8,138.0,Automatic,Petrol,2.0,Vauxhall,MK3 6JS
375,Mazda3,https://www.autotrader.co.uk/car-details/202302224534492,3990,4.8 (116 reviews) bedford (7 miles),2009,Hatchback,82000,1.6,,Manual,Petrol,,Mazda3,MK3 6JS
376,KIA RIO,https://www.autotrader.co.uk/car-details/202305036949202,2390,4.6 (298 reviews) milton keynes (6 miles),2009,Hatchback,81000,1.5,108.0,Manual,Diesel,,KIA,MK3 6JS
377,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202304266704194,2490,4.6 (298 reviews) milton keynes (6 miles),2009,Convertible,81000,1.8,138.0,Manual,Petrol,,Vauxhall,MK3 6JS
378,Mercedes-Benz CLK,https://www.autotrader.co.uk/car-details/202304266687667,3490,4.6 (298 reviews) milton keynes (6 miles),2009,Coupe,117000,2.1,150.0,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
379,Honda Fr-V,https://www.autotrader.co.uk/car-details/202303255618640,2749,4.9 (92 reviews) milton keynes (3 miles),2009,MPV,139366,2.2,138.0,Manual,Diesel,3.0,Honda,MK3 6JS
380,Volkswagen FOX,https://www.autotrader.co.uk/car-details/202303155270274,2490,4.8 (116 reviews) bedford (7 miles),2009,Hatchback,66000,1.2,,Manual,Petrol,,Volkswagen,MK3 6JS
381,Ford Focus,https://www.autotrader.co.uk/car-details/202304136257542,4999,milton keynes (10 miles),2009,Hatchback,66000,2.0,134.0,Manual,Diesel,,Ford,MK3 6JS
382,Mazda MX-5,https://www.autotrader.co.uk/car-details/202304276727890,5299,4.9 (2465 reviews) milton keynes (1 mile),2009,Convertible,70000,1.8,125.0,Manual,Petrol,,Mazda,MK3 6JS
383,Ford Focus,https://www.autotrader.co.uk/car-details/202304186417569,2499,milton keynes (10 miles),2009,Hatchback,83000,1.8,123.0,Manual,Petrol,,Ford,MK3 6JS
384,Alfa Romeo Mito,https://www.autotrader.co.uk/car-details/202305026907625,1195,milton keynes (3 miles),2009,Hatchback,94000,1.4,,Manual,Petrol,3.0,Alfa,MK3 6JS
385,Land Rover Freelander 2,https://www.autotrader.co.uk/car-details/202303315819375,5990,4.6 (298 reviews) milton keynes (6 miles),2009,SUV,122000,2.2,,Automatic,Diesel,,Land,MK3 6JS
386,Alfa Romeo GT,https://www.autotrader.co.uk/car-details/202305016873455,2000,4.7 (34 reviews) milton keynes (4 miles),2009,Coupe,98000,1.9,150.0,Manual,Diesel,,Alfa,MK3 6JS
387,Hyundai i30,https://www.autotrader.co.uk/car-details/202305036949046,2490,4.6 (298 reviews) milton keynes (6 miles),2009,Hatchback,114000,1.4,,Manual,Petrol,,Hyundai,MK3 6JS
388,BMW 3 SERIES,https://www.autotrader.co.uk/car-details/202304196439954,3899,4.3 (12 reviews) leighton buzzard (9 miles),2009,Saloon,96100,2.0,141.0,Manual,Diesel,,BMW,MK3 6JS
389,Fiat Bravo,https://www.autotrader.co.uk/car-details/202303135199501,2490,4.6 (298 reviews) milton keynes (6 miles),2009,Hatchback,107000,1.6,105.0,Manual,Diesel,,Fiat,MK3 6JS
390,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202304186405433,4990,4.6 (298 reviews) milton keynes (6 miles),2009,Saloon,72000,2.1,170.0,Automatic,Diesel,,Mercedes-Benz,MK3 6JS
391,Honda Jazz,https://www.autotrader.co.uk/car-details/202302114177226,3000,4.1 (44 reviews) milton keynes (1 mile),2009,Hatchback,78325,1.4,82.0,Manual,Petrol,,Honda,MK3 6JS
392,Ford Galaxy,https://www.autotrader.co.uk/car-details/202303305791693,4290,4.6 (298 reviews) milton keynes (6 miles),2009,MPV,114000,2.0,138.0,Manual,Diesel,,Ford,MK3 6JS
393,BMW 5 Series,https://www.autotrader.co.uk/car-details/202302284721814,2999,3.2 (13 reviews) leighton buzzard (9 miles),2009,Saloon,111900,2.0,,Manual,Diesel,3.0,BMW,MK3 6JS
394,Vauxhall Astra,https://www.autotrader.co.uk/car-details/202304256646320,4290,4.6 (298 reviews) milton keynes (6 miles),2009,Hatchback,52000,1.8,138.0,Automatic,Petrol,,Vauxhall,MK3 6JS
395,Ford Fiesta,https://www.autotrader.co.uk/car-details/202304015867552,3495,milton keynes (2 miles),2009,Hatchback,77590,1.6,118.0,Manual,Petrol,4.0,Ford,MK3 6JS
396,BMW 3 Series,https://www.autotrader.co.uk/car-details/202302144246679,3049,3.7 (61 reviews) milton keynes (7 miles),2009,Saloon,128820,2.0,,Automatic,Diesel,4.0,BMW,MK3 6JS
397,Peugeot 207,https://www.autotrader.co.uk/car-details/202304236587163,1995,milton keynes (5 miles),2009,Hatchback,74110,1.4,75.0,Manual,Petrol,,Peugeot,MK3 6JS
398,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202304276741930,4900,milton keynes (4 miles),2009,Hatchback,72400,1.6,,Manual,Petrol,3.0,Volkswagen,MK3 6JS
399,Nissan Qashqai+2,https://www.autotrader.co.uk/car-details/202305036947777,3309,3.7 (61 reviews) milton keynes (7 miles),2009,SUV,112000,1.6,113.0,Manual,Petrol,5.0,Nissan,MK3 6JS
400,KIA RIO,https://www.autotrader.co.uk/car-details/202304066045513,1599,4.7 (34 reviews) milton keynes (4 miles),2009,Hatchback,119000,1.4,95.0,Manual,Petrol,2.0,KIA,MK3 6JS
401,Vauxhall Insignia,https://www.autotrader.co.uk/car-details/202304106140378,2500,4.7 (51 reviews) milton keynes (3 miles),2009,Hatchback,124615,2.0,,Manual,Diesel,3.0,Vauxhall,MK3 6JS
402,Audi A3,https://www.autotrader.co.uk/car-details/202304176365563,3909,3.7 (61 reviews) milton keynes (7 miles),2009,Hatchback,99541,1.8,,Manual,Petrol,5.0,Audi,MK3 6JS
403,Audi A3,https://www.autotrader.co.uk/car-details/202305026907930,3495,4.1 (44 reviews) milton keynes (1 mile),2009,Hatchback,99935,1.9,,Manual,Diesel,3.0,Audi,MK3 6JS
404,Mazda2,https://www.autotrader.co.uk/car-details/202303074989364,1999,3.8 (34 reviews) leighton buzzard (9 miles),2009,Hatchback,102200,1.4,,Manual,Diesel,5.0,Mazda2,MK3 6JS
405,Ford Fiesta,https://www.autotrader.co.uk/car-details/202303014760929,2390,milton keynes (1 mile),2009,Hatchback,73000,1.6,89.0,Manual,Diesel,,Ford,MK3 6JS
406,Vauxhall Corsa,https://www.autotrader.co.uk/car-details/202304086103358,1500,4.1 (44 reviews) milton keynes (1 mile),2009,Hatchback,105350,1.2,79.0,Manual,Petrol,3.0,Vauxhall,MK3 6JS
407,Volvo V70,https://www.autotrader.co.uk/car-details/202303205415874,3409,3.7 (61 reviews) milton keynes (7 miles),2009,Estate,138576,2.0,,Manual,Diesel,3.0,Volvo,MK3 6JS
408,Audi A3,https://www.autotrader.co.uk/car-details/202303034863963,2999,3.8 (34 reviews) leighton buzzard (9 miles),2009,Hatchback,120750,1.8,,Manual,Petrol,5.0,Audi,MK3 6JS
409,Land Rover Freelander 2,https://www.autotrader.co.uk/car-details/202302234562620,3059,3.7 (61 reviews) milton keynes (7 miles),2009,SUV,153674,2.2,,Automatic,Diesel,4.0,Land,MK3 6JS
410,Ford Focus,https://www.autotrader.co.uk/car-details/202301313792888,2490,4.7 (118 reviews) milton keynes (4 miles),2009,Hatchback,104659,1.6,99.0,Manual,Petrol,5.0,Ford,MK3 6JS
411,Peugeot 107,https://www.autotrader.co.uk/car-details/202304066051441,2400,4.9 (28 reviews) leighton buzzard (9 miles),2009,Hatchback,76150,1.0,,Manual,Petrol,2.0,Peugeot,MK3 6JS
412,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202210160783518,3800,4.9 (28 reviews) leighton buzzard (9 miles),2009,Estate,98987,2.1,170.0,Automatic,Diesel,4.0,Mercedes-Benz,MK3 6JS
413,Ford Fiesta,https://www.autotrader.co.uk/car-details/202303245585841,3299,4.7 (34 reviews) milton keynes (4 miles),2009,Hatchback,81000,1.4,67.0,Manual,Diesel,,Ford,MK3 6JS
414,Fiat 500,https://www.autotrader.co.uk/car-details/202305047000694,2899,4.9 (10 reviews) milton keynes (5 miles),2009,Hatchback,82400,1.2,,Manual,Petrol,3.0,Fiat,MK3 6JS
415,Land Rover Discovery,https://www.autotrader.co.uk/car-details/202212212695194,6649,4.2 (50 reviews) leighton buzzard (8 miles),2009,SUV,100000,2.7,188.0,Automatic,Diesel,,Land,MK3 6JS
416,KIA Ceed,https://www.autotrader.co.uk/car-details/202303085033040,2490,4.6 (298 reviews) milton keynes (6 miles),2009,Estate,114000,1.6,88.0,Manual,Diesel,,KIA,MK3 6JS
