,name_buy,link_buy,price_buy,seller_buy,year_buy,body_buy,mileage_buy,engine_buy,BHP_buy,transmission_buy,fuel_buy,owners_buy,brand_buy,postcode_buy
1909,Nissan Juke,https://www.autotrader.co.uk/car-details/202305187513916,9494,4.5 (80 reviews) luton (16 miles),2012.0,SUV,24088.0,1.6,,Automatic,Petrol,3.0,Nissan,MK3 6JS
1910,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202211041375581,7495,4.9 (45 reviews) northampton (18 miles),2012.0,Hatchback,63715.0,1.6,,Manual,Diesel,2.0,Volkswagen,MK3 6JS
1911,Ford Fiesta,https://www.autotrader.co.uk/car-details/202305247736030,5199,4.1 (21 reviews) leighton buzzard (8 miles),2012.0,Hatchback,61000.0,,59.0,Manual,Petrol,,Ford,MK3 6JS
1912,SKODA Yeti,https://www.autotrader.co.uk/car-details/202304066046277,8980,4.9 (72 reviews) pulloxhill (13 miles),2012.0,SUV,57000.0,1.2,,Manual,Petrol,2.0,SKODA,MK3 6JS
1913,Mercedes-Benz E Class,https://www.autotrader.co.uk/car-details/202305117259362,9700,5.0 (180 reviews),2012.0,Convertible,85027.0,2.1,,Automatic,Diesel,3.0,Mercedes-Benz,MK3 6JS
1914,Volkswagen Golf,https://www.autotrader.co.uk/car-details/202304015865936,6690,4.7 (118 reviews) milton keynes (4 miles),2012.0,Hatchback,89000.0,1.4,,Manual,Petrol,3.0,Volkswagen,MK3 6JS
1915,SEAT Altea,https://www.autotrader.co.uk/car-details/202304106148714,5999,3.2 (13 reviews) leighton buzzard (9 miles),2012.0,MPV,32600.0,1.6,,Automatic,Diesel,2.0,SEAT,MK3 6JS
1916,Audi A6 Allroad,https://www.autotrader.co.uk/car-details/202211111602342,9900,luton (14 miles),2012.0,Estate,157000.0,3.0,,Automatic,Diesel,2.0,Audi,MK3 6JS
1917,Honda Jazz,https://www.autotrader.co.uk/car-details/202305247728094,6850,4.9 (57 reviews),2012.0,Hatchback,56249.0,1.3,98.0,Manual,Petrol,,Honda,MK3 6JS
1918,Audi A4,https://www.autotrader.co.uk/car-details/202305107227788,7999,4.8 (131 reviews) luton (15 miles),2012.0,Saloon,85047.0,2.0,,Automatic,Diesel,3.0,Audi,MK3 6JS
